English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
Retzius veins,tĩnh mạch Retzius,n,"  The Retzius veins, part of the portal-systemic collateral circulation, are anastomotic connections between tributaries of the portal vein and the inferior vena cava, primarily located in the retroperitoneum","  Tĩnh mạch Retzius, một phần của tuần hoàn bàng hệ cửa-chủ, là các kết nối nối giữa các nhánh của tĩnh mạch cửa và tĩnh mạch chủ dưới, chủ yếu nằm ở khoang sau phúc mạc",UNOBSERVED,UNOBSERVED
rachianalgesia,gây tê tủy sống,n," Rachianalgesia, also known as spinal analgesia, involves injecting an anesthetic into the subarachnoid space. "," Gây tê tủy sống, còn được gọi là giảm đau tủy sống, bao gồm việc tiêm thuốc tê vào khoang dưới nhện.",UNOBSERVED,UNOBSERVED
Bing test,thử nghiệm Bing,,  The Bing test is a hearing test that uses a tuning fork to differentiate between conductive and sensorineural hearing loss.  ,  Thử nghiệm Bing là một bài kiểm tra thính lực sử dụng một âm thoa để phân biệt giữa mất thính lực dẫn truyền và mất thính lực thần kinh cảm giác.,UNOBSERVED,UNOBSERVED
chylocele,tràn nhũ trấp tinh mạc,n, A chylocele is an accumulation of chyle in the tunica vaginalis of the testis. , Tràn nhũ trấp tinh mạc là sự tích tụ nhũ trấp trong màng tinh hoàn của tinh hoàn.,UNOBSERVED,UNOBSERVED
hypochondriac,hạ sườn,"n,a", Pain in the left hypochondriac region could indicate an issue with the spleen or stomach. , Đau ở vùng hạ sườn trái có thể là dấu hiệu của vấn đề ở lách hoặc dạ dày.,UNOBSERVED,UNOBSERVED
osteoclast,hủy cốt bào,n,"  The osteoclast is a large, multinucleated cell involved in bone resorption.  ","  Hủy cốt bào (osteoclast) là một tế bào lớn, đa nhân tham gia vào quá trình tiêu xương.",UNOBSERVED,UNOBSERVED
vesicosigmoidostomy,mở thông bàng quang kết tràng xích ma,," A vesicosigmoidostomy is a surgical procedure to create a connection between the urinary bladder and the sigmoid colon, typically for urinary diversion. "," Mở thông bàng quang kết tràng xích ma là một thủ thuật phẫu thuật để tạo một kết nối giữa bàng quang và đại tràng sigma, thường là để chuyển hướng dòng tiểu.",UNOBSERVED,UNOBSERVED
tegmental,mái,a," The tegmental area of the midbrain, which includes structures like the ventral tegmental area (VTA) and substantia nigra, plays a crucial role in reward, motivation, and motor control. "," Vùng mái của não giữa, bao gồm các cấu trúc như vùng mái bụng (VTA) và chất đen, đóng một vai trò quan trọng trong sự tưởng thưởng, động lực và kiểm soát vận động.",UNOBSERVED,UNOBSERVED
perisynovial,quanh màng hoạt dịch,a," Arthroscopic examination revealed inflammation in the perisynovial tissues of the knee joint, contributing to the patient's pain and restricted range of motion, suggesting a localized synovitis. "," Khám nội soi khớp cho thấy tình trạng viêm ở các mô quanh màng hoạt dịch của khớp gối, góp phần gây đau và hạn chế phạm vi chuyển động của bệnh nhân, gợi ý tình trạng viêm bao hoạt dịch cục bộ.",UNOBSERVED,UNOBSERVED
perichondroma,u màng sụn,n,  A perichondroma is a benign cartilaginous tumor arising from the perichondrium.  ,  U màng sụn là một khối u sụn lành tính phát sinh từ màng sụn.,UNOBSERVED,UNOBSERVED
biped,hai chân,"n,a"," Humans are biped organisms, walking upright on two legs. "," Con người là sinh vật hai chân, đi thẳng bằng hai chân.",UNOBSERVED,UNOBSERVED
white strawberry tongue,lưới trắng dâu tây,n,"  A white strawberry tongue, characterized by a white-coated tongue with prominent red, swollen papillae, is an early characteristic sign of scarlet fever, an infection caused by group A Streptococcus bacteria.  ","  Lưỡi trắng dâu tây, đặc trưng bởi lưỡi có lớp phủ màu trắng với các nhú lưỡi đỏ, sưng nổi rõ, là một dấu hiệu đặc trưng sớm của bệnh ban đỏ, một bệnh nhiễm trùng do vi khuẩn Streptococcus nhóm A gây ra.",UNOBSERVED,UNOBSERVED
undersensing,kém nhạy cảm,n,"  Pacemaker undersensing occurs when the device fails to detect the heart's intrinsic electrical activity, potentially leading to inappropriate pacing.  ","  Tình trạng kém nhạy cảm của máy tạo nhịp xảy ra khi thiết bị không phát hiện được hoạt động điện nội tại của tim, có khả năng dẫn đến việc tạo nhịp không phù hợp.",UNOBSERVED,UNOBSERVED
refraction,khúc xạ,n,  Refraction is the bending of a wave when it enters a medium where its speed is different.  ,  Khúc xạ là sự bẻ cong của một sóng khi nó đi vào một môi trường nơi tốc độ của nó khác nhau.,UNOBSERVED,UNOBSERVED
pneumoperitonitis,viêm màmg bụng trướng khí,n,  Pneumoperitonitis is inflammation of the peritoneum associated with the presence of gas in the peritoneal cavity.  ,  Viêm màng bụng trướng khí là tình trạng viêm phúc mạc liên quan đến sự hiện diện của khí trong khoang phúc mạc.,UNOBSERVED,UNOBSERVED
spermatozoid,tinh trùng,n,"  A spermatozoid, the motile male gamete found in many lower plants like mosses and ferns, typically possesses flagella that enable it to swim through water to reach and fertilize the female gamete (egg).  ","  Tinh trùng, giao tử đực di động được tìm thấy ở nhiều loài thực vật bậc thấp như rêu và dương xỉ, thường có roi giúp nó bơi trong nước để tiếp cận và thụ tinh cho giao tử cái (trứng).",UNOBSERVED,UNOBSERVED
pneumomediastinography,chụp trung thất bơm khí,n,  Pneumomediastinography is the radiographic examination of the mediastinum after insufflation of a contrast gas.  ,  Chụp trung thất bơm khí là phương pháp kiểm tra X-quang trung thất sau khi bơm khí cản quang.,UNOBSERVED,UNOBSERVED
ophthalmagra,đau mắt đột ngột,n,"  Sudden, severe eye pain, known as ophthalmagra, can be a symptom of acute angle-closure glaucoma. ","  Đau mắt đột ngột, dữ dội, được gọi là đau mắt đột ngột (ophthalmagra), có thể là triệu chứng của bệnh glôcôm góc đóng cấp tính.",UNOBSERVED,UNOBSERVED
menarchial,khởi kinh,a,  Factors such as nutrition and genetics can influence the timing of the menarchial event.  ,Các yếu tố như dinh dưỡng và di truyền có thể ảnh hưởng đến thời điểm khởi kinh .,UNOBSERVED,UNOBSERVED
agglutinogenic,sinh ngưng kết tố,a,The agglutinogenic properties of bacterial surface antigens stimulate the production of agglutinating antibodies.,Đặc tính sinh ngưng kết tố (agglutinogenic) của các kháng nguyên bề mặt vi khuẩn kích thích sản xuất các kháng thể ngưng kết.,UNOBSERVED,UNOBSERVED
tetanic spasm,co cứng cơ do uốn ván,n,"  A deep, contaminated wound provides an anaerobic environment conducive to the germination of Clostridium tetani spores and the subsequent production of tetanospasmin, which can lead to a life-threatening tetanic spasm if untreated.  ","  Một vết thương sâu, bị nhiễm bẩn cung cấp môi trường kỵ khí thuận lợi cho sự nảy mầm của bào tử Clostridium tetani và sản sinh tetanospasmin sau đó, có thể dẫn đến co cứng cơ do uốn ván đe dọa tính mạng nếu không được điều trị.",UNOBSERVED,UNOBSERVED
group-transfer,di chuyển gốc,n,  Enzymes involved in group-transfer reactions catalyze the movement of functional groups from one molecule to another.  ,  Các enzyme tham gia vào các phản ứng di chuyển gốc xúc tác cho sự di chuyển của các nhóm chức từ phân tử này sang phân tử khác.,UNOBSERVED,UNOBSERVED
stylomastoid,trâm chũm,,  The facial nerve exits the skull through the stylomastoid foramen.  ,  Dây thần kinh mặt thoát ra khỏi hộp sọ qua lỗ trâm chũm.,UNOBSERVED,UNOBSERVED
vacuome,hệ không bào,n," The vacuome, encompassing all vacuoles within a cell, plays diverse roles in cellular homeostasis, including storage of nutrients and waste products, maintenance of turgor pressure, and degradation of cellular components through lytic processes. "," Hệ không bào, bao gồm tất cả các không bào trong một tế bào, đóng vai trò đa dạng trong việc duy trì cân bằng nội môi của tế bào, bao gồm lưu trữ chất dinh dưỡng và sản phẩm thải, duy trì áp suất trương nước và phân hủy các thành phần tế bào thông qua các quá trình tiêu giải.",UNOBSERVED,UNOBSERVED
anoretic,biếng ăn,a," An anoretic patient has a diminished appetite, leading to reduced food intake. "," Bệnh nhân biếng ăn có cảm giác thèm ăn giảm sút, dẫn đến giảm lượng thức ăn hấp thụ.",UNOBSERVED,UNOBSERVED
pericarditis,viêm màng ngoài tim,n,"  Pericarditis is an inflammation of the pericardium, the sac-like membrane surrounding the heart.  ","  Viêm màng ngoài tim là tình trạng viêm màng ngoài tim, màng giống như túi bao quanh tim.",UNOBSERVED,UNOBSERVED
neurocranial,sọ bao bọc não,a, The neurocranial portion of the skull directly encases the brain. , Phần sọ bao bọc não của hộp sọ trực tiếp bao bọc não.,UNOBSERVED,UNOBSERVED
Elsberg test,thử nghiệm Elsberg,n,  The Elsberg test was historically used to assess olfactory function by measuring the minimum identifiable odor.  ,  Thử nghiệm Elsberg trong lịch sử được sử dụng để đánh giá chức năng khứu giác bằng cách đo mùi tối thiểu có thể nhận biết được.,UNOBSERVED,UNOBSERVED
caruncle,núm,n,"  The lacrimal caruncle is a small, pinkish nodule in the inner corner of the eye.  ","  Núm lệ là một nốt nhỏ, màu hồng ở góc trong của mắt.",UNOBSERVED,UNOBSERVED
scrotal hematocele,khối tụ máu bìu,n," A scrotal hematocele is a collection of blood within the tunica vaginalis of the scrotum, often resulting from trauma, surgery, or a bleeding disorder. "," Khối tụ máu bìu là một khối máu tụ trong bao tinh mạc của bìu, thường là kết quả của chấn thương, phẫu thuật hoặc rối loạn chảy máu.",UNOBSERVED,UNOBSERVED
stratiform,dạng tầng,n," The transitional epithelium lining the urinary bladder exhibits a stratiform arrangement that allows it to stretch and recoil as the bladder fills and empties, accommodating changes in urine volume. "," Biểu mô chuyển tiếp lót bàng quang tiết niệu thể hiện một sự sắp xếp dạng tầng cho phép nó căng ra và co lại khi bàng quang đầy và rỗng, thích ứng với những thay đổi về thể tích nước tiểu.",UNOBSERVED,UNOBSERVED
menalgia,kinh nguyệt đau,n,"  Menalgia, or dysmenorrhea, is the medical term for painful menstruation.  ","Kinh nguyệt đau , hay đau bụng kinh, là thuật ngữ y học chỉ tình trạng đau khi hành kinh.",UNOBSERVED,UNOBSERVED
EHBF,dòng máu ngoài gan,n," Extrahepatic biliary fibrosis can significantly impair EHBF, leading to portal hypertension and its associated complications if not managed effectively. ","Xơ hóa đường mật ngoài gan có thể làm suy giảm đáng kể dòng máu ngoài gan , dẫn đến tăng áp lực tĩnh mạch cửa và các biến chứng liên quan nếu không được quản lý hiệu quả.",UNOBSERVED,UNOBSERVED
frontal,mặt trước,a,  A frontal sinus infection can cause pain and pressure behind the forehead and eyes.  ,  Nhiễm trùng xoang trán có thể gây đau và áp lực phía sau trán và mắt.,UNOBSERVED,UNOBSERVED
massive collapse,xẹp diện rộng,n,"  Massive collapse of the lung, or atelectasis, can occur due to airway obstruction or external compression.  ","  Xẹp diện rộng của phổi, hay xẹp phổi, có thể xảy ra do tắc nghẽn đường thở hoặc chèn ép từ bên ngoài.",UNOBSERVED,UNOBSERVED
